,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Sales Dashboard of 2025,,,,,,,,,,,,,,,,,,,,,,,,,KPI,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Quantity,Cost,Sales,Profit,Discount Amt,Net Profit,Order ID,Avg. Ship Duration,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,37873,2010804,2297201,286397,243466,42931,9994,4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Monthly Trend,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Order Month,Quantity,Cost,Sales,Profit,Discount Amt,Net Profit,Order ID,Avg. Ship Duration,,Region,SUM of Sales,,State,SUM of Sales,,Category,SUM of Sales,,Product Name,SUM of Sales
,,,,,,,,,,,,,,,,,,,,,,,,,,April,2447,"$126,174.69","$137,762.13","$11,587.44","$13,978.41","-$2,390.97",668,4,,West,"$725,457.82",,California,"$457,687.63",,Technology,"$836,154.03",,Canon imageCLASS 2200 Advanced Copier,"$61,599.82"
,,,,,,,,,,,,,,,,,,,,,,,,,,August,2784,"$137,267.12","$159,044.06","$21,776.94","$20,064.43","$1,712.51",706,4,,East,"$678,781.24",,New York,"$310,876.27",,Furniture,"$741,999.80",,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,"$27,453.38"
,,,,,,,,,,,,,,,,,,,,,,,,,,December,5419,"$281,924.31","$325,293.50","$43,369.19","$30,893.83","$12,475.36",1408,4,,Central,"$501,239.89",,Texas,"$170,188.05",,Office Supplies,"$719,047.03",,Cisco TelePresence System EX90 Videoconferencing Unit,"$22,638.48"
,,,,,,,,,,,,,,,,,,,,,,,,,,February,1067,"$49,456.64","$59,751.25","$10,294.61","$4,804.62","$5,489.99",300,4,,South,"$391,721.91",,Washington,"$138,641.27",,Grand Total,"$2,297,200.86",,HON 5400 Series Task Chairs for Big and Tall,"$21,870.58"
,,,,,,,,,,,,,,,,,,,,,,,,,,January,1475,"$85,790.39","$94,924.84","$9,134.45","$8,788.19",$346.25,381,4,,Grand Total,"$2,297,200.86",,Pennsylvania,"$116,511.91",,,,,GBC DocuBind TL300 Electric Binding System,"$19,823.48"
,,,,,,,,,,,,,,,,,,,,,,,,,,July,2705,"$133,405.43","$147,238.10","$13,832.66","$17,019.08","-$3,186.42",710,4,,,,,Florida,"$89,473.71",,,,,GBC Ibimaster 500 Manual ProClick Binding System,"$19,024.50"
,,,,,,,,,,,,,,,,,,,,,,,,,,June,2680,"$131,432.88","$152,718.68","$21,285.80","$17,684.47","$3,601.33",717,4,,,,,Illinois,"$80,166.10",,Sub-Category,SUM of Sales,,Hewlett Packard LaserJet 3310 Copier,"$18,839.69"
